-122.68304,45.497288,3.2
-122.683072,45.497247,1
-122.683122,45.49716,0.55
-122.683155,45.497085,1.4
-122.683232,45.496798,0.7555555555555555
-122.683328,45.496612,4.6
-122.683432,45.496388,5.2
-122.683557,45.496102,6.8
-122.683773,45.495862,6
-122.68393,45.49585,1
-122.684035,45.495837,1.6
-122.684343,45.49588,4.8
-122.684555,45.49618,7.4
-122.68459,45.496458,6.4
-122.684858,45.49656,4.4
-122.685025,45.496598,2.8
-122.685523,45.496693,8.2
-122.686022,45.496795,7.8
-122.686502,45.496915,7.8
-122.686988,45.497015,7.8
-122.687438,45.497107,7
-122.687865,45.497197,6.8
-122.688272,45.497283,6.6
-122.688615,45.49736,5.4
-122.689288,45.497552,5.6
-122.689518,45.497762,5.8
-122.689605,45.498003,5.2
-122.689567,45.498247,5
-122.689423,45.498452,4.8
-122.68917,45.498612,5
-122.688882,45.498738,5.4
-122.688637,45.49885,4.4
-122.688385,45.49897,4.8
-122.688183,45.49907,3.6
-122.688122,45.499113,0.4
-122.687968,45.499167,2.6
-122.687712,45.499123,4.2
-122.687395,45.499068,5
-122.686987,45.499112,0.66
-122.686565,45.499153,6.6
-122.686177,45.499193,6
-122.685832,45.499203,5.2
-122.685647,45.499218,2.4
-122.685428,45.499318,0.5333333333333333
-122.68508,45.49953,7.2
-122.684628,45.49981,9.4
-122.684237,45.500062,8.2
-122.683973,45.500342,6.4
-122.683743,45.500392,3.8
-122.683402,45.500257,6
-122.68342,45.49996,6.6
-122.683795,45.499735,8.8
-122.684192,45.499455,10.75
-122.684617,45.499198,7.333333333333333
-122.685003,45.498988,9.25
-122.685318,45.498818,6.2
-122.685618,45.49867,5.6
-122.686003,45.498623,6.2
-122.686437,45.498603,6.8
-122.686732,45.498468,5.2
-122.686793,45.498373,2.2
-122.686703,45.49813,5.8
-122.686328,45.497987,6.8
-122.685915,45.497993,6.2
-122.685102,45.49805,5.9
-122.684752,45.498058,5.2
-122.68444,45.498077,4.6
-122.684243,45.49811,3
-122.684088,45.498157,2.6
-122.68393,45.498212,2.8
-122.68373,45.498273,3.2
-122.68362,45.498312,1.6
-122.683613,45.498315,0.06666666666666667
-122.683488,45.498373,2.8
-122.683192,45.498512,5.6
-122.682977,45.498647,3.8
-122.682858,45.49873,2.2
-122.682753,45.498808,2
-122.682658,45.498842,1.8
-122.682457,45.498812,3.6
-122.682008,45.49868,8.2
-122.681528,45.49838,10.6
-122.681292,45.497887,12.6
-122.681035,45.497333,13.4
-122.680808,45.496767,13.4
-122.680867,45.49617,13.8
-122.68128,45.495715,12.2
-122.681942,45.49545,12.2
-122.682598,45.495188,12.2
-122.682845,45.494738,11
-122.68252,45.494275,11.6
-122.681983,45.493873,11.8
-122.681732,45.493342,12.6
-122.6817,45.492743,13.2
-122.681808,45.492158,13.2
-122.682162,45.491675,12.4
-122.68286,45.491382,12.8
-122.683628,45.491257,12.4
-122.684453,45.491417,13.2
-122.685242,45.491647,13.6
-122.686102,45.491807,13.8
-122.686947,45.491782,13.2
-122.687427,45.491352,12.4
-122.687157,45.490813,13
-122.68665,45.49035,13
-122.686342,45.489777,13.6
-122.686127,45.489168,13.8
-122.685762,45.48857,14.4
-122.685663,45.48789,15.4
-122.685845,45.487257,13.8
-122.685868,45.486763,11
-122.68538,45.486363,12
-122.684605,45.486092,14
-122.683923,45.48576,13.2
-122.683713,45.485203,13.2
-122.684122,45.484682,13.4
-122.684668,45.48429,12.2
